item,type,region1_rrt,region2_rrt,region3_rrt,region4_rrt
1,Object-Subject-Inversion,384.8955223880597,903.2686567164179,1078.2537313432836,507.8059701492537
1,Object-Topicalized,384.34328358208955,924.4925373134329,1061.3880597014925,679.3432835820895
1,Subject,408.67164179104475,934.1492537313433,724.6865671641791,682.2985074626865
2,Object-Subject-Inversion,451.5074626865672,929.8955223880597,845.7611940298508,608.8805970149253
2,Object-Topicalized,453.32835820895525,1015.8955223880597,929.2388059701492,793.5522388059702
2,Subject,386.7761194029851,856.7910447761194,672.2835820895523,558.3731343283582
3,Object-Subject-Inversion,445.8358208955224,1036.910447761194,1033.2985074626865,725.7313432835821
3,Object-Topicalized,406.95522388059703,868.0,925.4776119402985,729.5522388059702
3,Subject,393.05970149253733,938.776119402985,655.179104477612,714.4925373134329
4,Object-Subject-Inversion,396.53731343283584,874.7462686567164,952.1044776119403,824.5820895522388
4,Object-Topicalized,396.35820895522386,937.8059701492538,1179.134328358209,806.2089552238806
4,Subject,432.1194029850746,913.0149253731344,895.4328358208955,592.4626865671642
5,Object-Subject-Inversion,424.55223880597015,1016.9850746268656,948.1492537313433,689.4179104477612
5,Object-Topicalized,406.67164179104475,1210.1641791044776,1126.6119402985075,667.0746268656717
5,Subject,377.35820895522386,893.5970149253732,764.5820895522388,654.6716417910447
6,Object-Subject-Inversion,406.3731343283582,993.7164179104477,1275.2686567164178,849.776119402985
6,Object-Topicalized,385.67164179104475,911.8358208955224,799.1940298507462,909.955223880597
6,Subject,384.1194029850746,847.5671641791045,828.1940298507462,732.1194029850747
7,Object-Subject-Inversion,377.67164179104475,966.1940298507462,1056.7313432835822,810.3582089552239
7,Object-Topicalized,385.86567164179104,1013.0,1157.358208955224,707.5970149253732
7,Subject,424.02985074626866,1031.8955223880596,911.3582089552239,576.7014925373135
8,Object-Subject-Inversion,430.7313432835821,963.4179104477612,905.0895522388059,624.4477611940298
8,Object-Topicalized,453.85074626865674,1106.1492537313434,1036.8507462686566,699.0597014925373
8,Subject,360.07462686567163,831.5522388059702,720.7462686567164,774.2686567164179
9,Object-Subject-Inversion,452.65671641791045,981.0746268656717,1136.2089552238806,844.044776119403
9,Object-Topicalized,358.25373134328356,914.4925373134329,747.6716417910447,1042.9701492537313
9,Subject,402.9850746268657,883.1641791044776,643.3432835820895,807.7313432835821
10,Object-Subject-Inversion,410.2985074626866,980.044776119403,859.8358208955224,835.9701492537314
10,Object-Topicalized,408.46268656716416,969.6268656716418,929.7611940298508,851.3731343283582
10,Subject,431.9850746268657,950.1492537313433,750.223880597015,592.0298507462686
11,Object-Subject-Inversion,391.32835820895525,919.8059701492538,921.6119402985074,650.4626865671642
11,Object-Topicalized,413.56716417910445,1158.8358208955224,852.4328358208955,726.5373134328358
11,Subject,394.7910447761194,830.1194029850747,700.9850746268656,623.3432835820895
12,Object-Subject-Inversion,456.9850746268657,1004.7014925373135,869.8059701492538,748.5074626865671
12,Object-Topicalized,404.2686567164179,851.4477611940298,880.8358208955224,690.9701492537314
12,Subject,451.4925373134328,946.3283582089553,646.4776119402985,651.179104477612
13,Object-Subject-Inversion,425.94029850746267,901.0298507462686,1026.641791044776,869.5223880597015
13,Object-Topicalized,422.65671641791045,962.0149253731344,1198.0597014925372,914.3731343283582
13,Subject,440.97014925373134,983.1940298507462,917.7611940298508,666.2089552238806
14,Object-Subject-Inversion,398.53731343283584,874.179104477612,1030.8208955223881,644.4925373134329
14,Object-Topicalized,475.25373134328356,1103.7761194029852,1046.955223880597,735.4328358208955
14,Subject,406.94029850746267,894.1641791044776,850.4477611940298,721.0149253731344
15,Object-Subject-Inversion,451.1194029850746,1016.3731343283582,942.1343283582089,871.3880597014926
15,Object-Topicalized,431.92537313432837,899.2537313432836,1191.3880597014925,820.6417910447761
15,Subject,394.74626865671644,915.8955223880597,870.8955223880597,692.0298507462686
16,Object-Subject-Inversion,443.4179104477612,996.0895522388059,951.7313432835821,718.3432835820895
16,Object-Topicalized,441.3134328358209,1022.0298507462686,913.1194029850747,975.0746268656717
16,Subject,432.2089552238806,995.0895522388059,975.8358208955224,728.1492537313433
17,Object-Subject-Inversion,409.2686567164179,1029.6268656716418,1003.3432835820895,798.2537313432836
17,Object-Topicalized,443.35820895522386,998.2985074626865,1340.0149253731342,642.3582089552239
17,Subject,396.82089552238807,867.2985074626865,693.1044776119403,576.2835820895523
18,Object-Subject-Inversion,462.5820895522388,1064.7611940298507,856.7462686567164,810.3432835820895
18,Object-Topicalized,424.7313432835821,1102.2686567164178,1197.0746268656717,672.1492537313433
18,Subject,480.3731343283582,944.4029850746268,737.1044776119403,810.955223880597
19,Object-Subject-Inversion,396.5223880597015,898.776119402985,1001.9104477611941,610.3432835820895
19,Object-Topicalized,387.3731343283582,920.776119402985,804.2089552238806,990.5522388059702
19,Subject,457.5970149253731,987.5671641791045,678.1940298507462,669.1044776119403
20,Object-Subject-Inversion,384.82089552238807,1022.0746268656717,891.5671641791045,733.4776119402985
20,Object-Topicalized,451.3731343283582,1052.6119402985075,959.4925373134329,915.955223880597
20,Subject,392.4179104477612,964.0746268656717,824.4477611940298,688.7462686567164
