Item,Type,Region1_Surprisal,Region2_Surprisal,Region3_Surprisal,Region4_Surprisal
1,Object-Subject-Inversion,5.909127,11.505866,7.301979,7.409071
1,Object-Topicalized,5.909127,8.375733,9.024615,6.838896
1,Subject,4.858651,10.929037,7.298091,7.495176
2,Object-Subject-Inversion,5.801141,11.40874,8.437601,16.958409
2,Object-Topicalized,5.801141,13.08915,8.051862,16.330109
2,Subject,3.448764,9.626616,7.676885,17.64269
3,Object-Subject-Inversion,6.659653,12.634226,7.550385,13.383204
3,Object-Topicalized,6.659653,10.722104,13.512675,12.591683
3,Subject,5.584178,11.087413,7.604886,13.359717
4,Object-Subject-Inversion,6.206623,11.039412,7.596439,14.830775
4,Object-Topicalized,6.206623,13.661797,10.914328,12.129933
4,Subject,3.772399,10.91265,7.361596,14.290099
5,Object-Subject-Inversion,6.426147,11.982782,16.732466,12.616392
5,Object-Topicalized,6.426147,19.798483,17.733848,13.151863
5,Subject,5.215019,13.3408,15.914827,12.840146
6,Object-Subject-Inversion,6.216161,14.953337,10.19398,9.108003
6,Object-Topicalized,6.216161,13.939929,10.215647,7.005089
6,Subject,4.197978,13.636304,10.197244,7.81073
7,Object-Subject-Inversion,6.073872,10.100195,5.987851,10.732586
7,Object-Topicalized,6.073872,12.157155,5.156438,11.8249
7,Subject,3.11256,14.277064,6.418731,13.3081
8,Object-Subject-Inversion,8.954303,10.675815,6.224921,13.941661
8,Object-Topicalized,8.954303,10.563396,7.721441,12.396569
8,Subject,7.890786,9.22555,6.202327,15.634265
9,Object-Subject-Inversion,7.466413,10.533499,5.84344,8.142109
9,Object-Topicalized,7.466413,9.445407,8.671733,10.372892
9,Subject,3.540711,6.36088,8.676131,9.836321
10,Object-Subject-Inversion,7.765031,9.899845,18.808166,10.768995
10,Object-Topicalized,7.765031,20.544189,11.088301,10.592036
10,Subject,5.860429,10.420481,17.219397,9.398558
11,Object-Subject-Inversion,5.89902,12.14059,7.440692,11.735791
11,Object-Topicalized,5.89902,11.51478,8.070101,10.645229
11,Subject,2.637557,11.722756,6.635213,12.892502
12,Object-Subject-Inversion,7.234224,7.666094,6.65513,11.042842
12,Object-Topicalized,7.234224,9.72679,9.010162,9.031801
12,Subject,5.014484,8.70842,6.13964,10.366987
13,Object-Subject-Inversion,6.16737,8.942592,6.604335,11.339952
13,Object-Topicalized,6.16737,9.531024,11.487045,12.878765
13,Subject,4.372248,8.609172,6.131471,11.982285
14,Object-Subject-Inversion,8.065816,9.961509,11.999435,12.383114
14,Object-Topicalized,8.065816,13.237911,6.982849,10.639089
14,Subject,4.829927,4.100186,8.984943,12.539738
15,Object-Subject-Inversion,6.392244,18.327158,9.53941,15.937407
15,Object-Topicalized,6.392244,11.412253,11.730885,17.672755
15,Subject,4.346508,12.173138,8.64003,15.795229
16,Object-Subject-Inversion,6.421232,11.757504,4.773287,10.478345
16,Object-Topicalized,6.421232,11.595663,9.627965,11.884465
16,Subject,2.505266,10.649802,5.039961,12.823824
17,Object-Subject-Inversion,6.809448,10.587739,7.808442,11.022725
17,Object-Topicalized,6.809448,13.242884,12.105348,10.699003
17,Subject,4.909726,10.824582,8.202348,12.483495
18,Object-Subject-Inversion,6.773664,11.604766,4.750799,14.29196
18,Object-Topicalized,6.773664,9.882032,8.304313,15.260301
18,Subject,4.679103,11.949742,5.890599,12.838021
19,Object-Subject-Inversion,7.422541,12.921747,10.496818,13.164111
19,Object-Topicalized,7.422541,14.62428,10.723343,16.312846
19,Subject,5.326822,14.649029,7.60135,12.103617
20,Object-Subject-Inversion,5.971628,9.143191,6.716311,9.919682
20,Object-Topicalized,5.971628,10.939868,7.384149,8.817024
20,Subject,1.985882,11.061467,6.439586,10.36779
